,73,에릭요한슨,기타클래스,"14,440",1,"아주좋음
0.00",0.0,-,-,"쇼핑성
79%",https://itemscout.io/keyword?id=72500203
,103,울산원데이클래스,드로잉,"2,170",97,"아주좋음
0.04",15.0,"아주좋음
6.47","아주나쁨
10.53","쇼핑성&정보성
42% / 58%",https://itemscout.io/keyword?id=4753758
,140,대구쿠킹클래스,베이킹,"1,010",49,"아주좋음
0.05",13.6,"아주좋음
3.60","아주나쁨
55.00","쇼핑성
95%",https://itemscout.io/keyword?id=69783624
,151,키즈원데이클래스,비누,"1,470",14,"아주좋음
0.01",11.6,"아주좋음
1.21","아주나쁨
10.00","쇼핑성
98%",https://itemscout.io/keyword?id=3496117
,152,서울대투어,기타클래스,"1,110",6,"아주좋음
0.01",0.0,-,-,"쇼핑성
60%",https://itemscout.io/keyword?id=54301014
,183,개성주악만들기,베이킹,"3,910",6,"아주좋음
0.00",1.1,"아주좋음
5.45","아주나쁨
63.64","쇼핑성&정보성
42% / 58%",https://itemscout.io/keyword?id=235232451
,240,홍대실내데이트,테마/놀이동산,"2,110",34,"아주좋음
0.02",5.1,"아주좋음
6.67","아주나쁨
13.73","쇼핑성
95%",https://itemscout.io/keyword?id=46686160
,241,홍대이색데이트,베이킹,"1,630",26,"아주좋음
0.02",0.8,"보통
32.50","아주나쁨
192.50","쇼핑성
96%",https://itemscout.io/keyword?id=4507411
,268,대전이색데이트,테마/놀이동산,"2,930",10,"아주좋음
0.00",2.2,"아주좋음
4.55","아주나쁨
90.00","쇼핑성
96%",https://itemscout.io/keyword?id=4549239
,277,서울실내이색데이트,드로잉,"1,130",97,"아주좋음
0.09",1.5,"나쁨
64.67","아주나쁨
46.67","쇼핑성
95%",https://itemscout.io/keyword?id=55639176
,297,함께늘봄,기타클래스,"2,560",8,"아주좋음
0.00",1.7,"아주좋음
4.71","아주나쁨
41.18","쇼핑성
98%",https://itemscout.io/keyword?id=3523127
,302,대구공방데이트,도자기,"1,120",17,"아주좋음
0.02",1.3,"좋음
13.08","아주나쁨
53.85","쇼핑성&정보성
42% / 58%",https://itemscout.io/keyword?id=48471387
,312,홍대전시회,전시/행사,"14,880",51,"아주좋음
0.00",182.6,"아주좋음
0.28","좋음
0.51","쇼핑성
92%",https://itemscout.io/keyword?id=53301087
,324,서울실내액티비티,테마/놀이동산,"13,410",72,"아주좋음
0.01",1.5,"나쁨
48.00","아주나쁨
46.67","쇼핑성
96%",https://itemscout.io/keyword?id=78179527
,335,에릭요한슨사진전부산,기타클래스,"7,180",1,"아주좋음
0.00",0.0,-,-,"쇼핑성
60%",https://itemscout.io/keyword?id=367940157
,400,서울커플링공방,주얼리,"1,190",26,"아주좋음
0.02",1.4,"좋음
18.57","아주나쁨
50.00","정보성
81%",https://itemscout.io/keyword?id=49490318
,459,한우짝갈비,한우,"1,380",11,"아주좋음
0.01",1.0,"좋음
11.00","아주나쁨
70.00","쇼핑성
98%",https://itemscout.io/keyword?id=57151437
,12,달달설기,베이킹,"2,120",8,"아주좋음
0.00",0.0,-,-,"쇼핑성
98%",https://itemscout.io/keyword?id=260755330
,35,대구쿠킹클래스,베이킹,"1,010",49,"아주좋음
0.05",13.6,"아주좋음
3.60","아주나쁨
55.00","쇼핑성
95%",https://itemscout.io/keyword?id=69783624
,50,개성주악만들기,베이킹,"3,910",6,"아주좋음
0.00",1.1,"아주좋음
5.45","아주나쁨
63.64","쇼핑성&정보성
42% / 58%",https://itemscout.io/keyword?id=235232451
,62,전주원데이클래스,플라워,"2,410",60,"아주좋음
0.02",12.5,"아주좋음
4.80","아주나쁨
13.44","쇼핑성
95%",https://itemscout.io/keyword?id=3400572
,96,대전이색데이트,테마/놀이동산,"2,930",10,"아주좋음
0.00",2.2,"아주좋음
4.55","아주나쁨
90.00","쇼핑성
96%",https://itemscout.io/keyword?id=4549239
,105,청주원데이클래스,목공예,"1,840",61,"아주좋음
0.03",5.5,"좋음
11.09","아주나쁨
116.00","쇼핑성
96%",https://itemscout.io/keyword?id=4758837
,142,경주원데이클래스,기타수공예,"1,010",31,"아주좋음
0.03",0.7,"나쁨
44.29","아주나쁨
117.14","쇼핑성
98%",https://itemscout.io/keyword?id=4753314
,186,홍대이색데이트,베이킹,"1,630",26,"아주좋음
0.02",0.8,"보통
32.50","아주나쁨
192.50","쇼핑성
96%",https://itemscout.io/keyword?id=4507411
,231,전주이색데이트,아로마테라피,"1,500",13,"아주좋음
0.01",1.0,"좋음
13.00","아주나쁨
70.00","쇼핑성
96%",https://itemscout.io/keyword?id=534028
,343,인천실내데이트,캔들/방향제/향수,"2,840",15,"아주좋음
0.01",1.7,"아주좋음
8.82","아주나쁨
41.18","정보성
88%",https://itemscout.io/keyword?id=4557445
,489,서울실내이색데이트,드로잉,"1,130",97,"아주좋음
0.09",1.5,"나쁨
64.67","아주나쁨
46.67","쇼핑성
95%",https://itemscout.io/keyword?id=55639176
,12,달달설기,베이킹,"2,120",8,"아주좋음
0.00",0.0,-,-,"쇼핑성
98%",https://itemscout.io/keyword?id=260755330
,35,대구쿠킹클래스,베이킹,"1,010",49,"아주좋음
0.05",13.6,"아주좋음
3.60","아주나쁨
55.00","쇼핑성
95%",https://itemscout.io/keyword?id=69783624
